;"LLUVIA POBL.
(mm)";"TEMPERATURA
  MEDIA (ºc)";"APORTACIONES A LA PRESA
(hm³)";"VOLUMEN EMBALSADO
(hm³)";"VOLUMEN PARA RIEGO
(m³)";"VOLUMEN PARA ABASTECIMIENTO
(m³)";"VOLUMEN VERTIDO
(m³)"
18/05/1992;0;0;0,020338688;55,034;0;0;0
19/05/1992;0;0;0,020060076;55,034;0;0;0
20/05/1992;0;0;-0,015466518;55,006;0;0;0
21/05/1992;0;0;0,018939485;55,006;0;0;0
22/05/1992;0,5;0;0,014483135;55,006;0;0;0
23/05/1992;0;0;0,019496528;55,006;0;0;0
24/05/1992;0,5;0;-0,019925492;54,978;0;0;0
25/05/1992;0;0;0,021996074;54,978;0;0;0
26/05/1992;0;0;0,022831368;54,978;0;0;0
27/05/1992;0;0;0,019211761;54,978;0;0;0
28/05/1992;0;0;0,019211761;54,978;0;0;0
29/05/1992;0;0;-0,007402774;54,95;0;0;0
30/05/1992;0;0;0,019205521;54,95;0;0;0
31/05/1992;0;0;0,018092158;54,95;0;0;0
01/06/1992;0;0;0,022545612;54,95;0;0;0
02/06/1992;0;0;-0,012748451;54,92;0;0;0
03/06/1992;0;0;0,006206819;54,7;0;0;0,209
04/06/1992;0;0;-0,013076237;54,67;0;0;0
05/06/1992;0;0;0,005516076;54,65;0;0;0
06/06/1992;0;0;-0,008373814;54,62;0;0;0
07/06/1992;0;0;-0,004777649;54,59;0;0;0
08/06/1992;0;0;-0,00478587;54,56;0;0;0
09/06/1992;0;0;-0,005071055;54,53;0;0;0
10/06/1992;0;0;0,005197781;54,51;0;0;0
11/06/1992;0;0;-0,009792991;54,48;0;0;0
12/06/1992;0;0;-0,007032392;54,45;0;0;0
13/06/1992;0;0;0,01051529;54,45;0;0;0
14/06/1992;11;0;-0,027233713;54,42;0;0;0
15/06/1992;22;0;0,100245252;54,51;0;0;0
16/06/1992;2,5;0;0,055541567;54,56;0;0;0
17/06/1992;0;0;0,019949641;54,56;0;0;0
18/06/1992;0;0;0,011360212;54,56;0;0;0
